fold,nail_backbone,conj_backbone,best_epoch,mae,r2,acc@0.5,acc@1.0,acc@2.0,train_loss
0,timm/convnext_small.in12k,timm/convnext_small.in12k,23,1.0853445529937744,0.04994043208834653,0.3,0.55,0.8,1.3566057682037354
0,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,16,1.2692893743515015,-0.26405622605753876,0.2,0.3,0.8,0.9728521704673767
1,timm/convnext_small.in12k,timm/convnext_small.in12k,39,1.2435295581817627,-0.23318681186615153,0.4,0.45,0.8,1.0563682317733765
1,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,52,1.3303463459014893,-0.21368726218118583,0.25,0.45,0.8,1.2159234285354614
2,timm/convnext_small.in12k,timm/convnext_small.in12k,14,0.3415687680244446,-1.430851717654516,0.8125,1.0,1.0,1.7003427743911743
2,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,30,0.20849275588989258,0.020347073945583993,1.0,1.0,1.0,1.2698824405670166
3,timm/convnext_small.in12k,timm/convnext_small.in12k,28,0.7971131205558777,-0.5947953068948604,0.5,0.75,0.75,1.5400750637054443
3,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,29,0.7040094137191772,-0.3028331859747124,0.625,0.75,0.8125,1.6126104593276978
4,timm/convnext_small.in12k,timm/convnext_small.in12k,41,0.6552075147628784,0.5122225421274174,0.625,0.625,1.0,0.9826915860176086
4,timm/convnext_small.in12k,timm/efficientnet_b5.sw_in12k,38,0.7673245072364807,0.3419817492839229,0.5625,0.625,1.0,1.2295335531234741
